Work Item Type,Title 1,Title 2,Title 3,Title 4,Description,Acceptance Criteria,
Product Backlog Item,,,3.FE-E6-F1-US6,,"3.FE-E6-F1-US6

Edit Course Details

As an admin, I want to edit and update the course details (such as title, description, duration, etc.) on the ""Course Info"" page so that the information presented to the users is accurate and relevant.","Acceptance Criteria for User Story FE-E6-F1-US6: Edit Course Details

1. **Access Control**:
   - Ensure that only users with admin privileges can access the editing functions on the ""Course Info"" page.

2. **Edit Interface**:
   - Provide an intuitive interface on the ""Course Info"" page that allows for editing text fields such as title, description, and duration.

3. **Field Validation**:
   - Each editable field should have validation checks to ensure the input format is correct, with clear error messages for any invalid entries.

4. **Save Functionality**:
   - Include a ""Save"" or ""Update"" button that is enabled once changes are made.

5. **Confirmation Prompt**:
   - Upon clicking ""Save"" or ""Update,"" prompt the admin for confirmation to prevent accidental changes.

6. **Successful Update Feedback**:
   - After confirmation and successful update, provide a visual indicator or message that confirms the course details have been updated.

7. **Data Persistence**:
   - Ensure that once the course details are updated, the changes are stored persistently and reflected accurately across the platform.

8. **Error Handling**:
   - In case of an update failure, display an appropriate error message and ensure that the data remains unchanged.

9. **Audit Trail**:
   - Log the changes made by the admin to the course details for audit purposes.

10. **Undo Functionality**:
    - Offer an option to revert changes to the previous state before the update, in case an admin makes a mistake.

11. **Performance**:
    - The update process should be efficient, with minimal loading time and no significant impact on the system's performance.

12. **Consistency Across Views**:
    - Confirm that updates to course details are consistent across all views where this information is displayed to the users.",
Task,,,,3.FE-E6-F1-US6-T1,"3.FE-E6-F1-US6-T1

Edit Course Title

As an admin, I want to be able to edit the course title so that it accurately reflects the course content and is engaging for potential learners.","Acceptance Criteria for the Product Backlog Item: Edit Course Title  E4-F1-US6-T1:

1. Access Control
   - Only users with the 'admin' role should have the ability to edit course titles.
   
2. Edit Functionality
   - Admins should be able to modify the existing course title by entering a new title into the editable field.
   - The system should allow for the use of alphanumeric characters and common special characters in the course title.
   
3. Save Functionality
   - Upon saving the new title, the system should update all instances where the course title is displayed throughout the platform.
   - The updated title should be immediately visible to the admin upon saving.

4. Feedback Mechanism
   - After saving the new title, a success message should be displayed to confirm that the change has been saved.
   - If the save fails, an error message should be displayed, providing guidance on what went wrong and how to resolve it.",
Task,,,,3.FE-E6-F1-US6-T2,"3.FE-E6-F1-US6-T2

Update Course Description

As an admin, I want to modify the course description to ensure it provides clear and updated information about what learners can expect from the course.","Acceptance Criteria for the Product Backlog Item: Update Course Description  E4-F1-US6-T2:

1. Access Control
   - Only admins should have the ability to modify course descriptions.
   - Unauthorized users should not have access to editing functionalities.

2. Editing Functionality
   - Admins should be able to modify the existing course description text.
   - Changes should not be saved automatically; admins should confirm changes before they are applied.

3. Data Validation
   - The system should validate the updated description to ensure it adheres to any character or word limits and does not contain disallowed content or formats.
   - If the validation fails, a clear and informative error message should be displayed.

4. Data Persistence
   - Once the admin saves the changes, the updated course description should be stored in the database.
   - The updated description should immediately reflect across all instances where the course description is displayed.

5. Feedback Mechanism
   - Upon successfully saving the changes, a confirmation message should be displayed to the admin.
   - If the save operation fails, an error message should be displayed, explaining the issue and suggesting corrective actions.",
Task,,,,3.FE-E6-F1-US6-T3,"3.FE-E6-F1-US6-T3

Modify Course Image

As an admin, I want to change the course image to ensure it is visually appealing and relevant to the course content.","Acceptance Criteria for the Product Backlog Item: Modify Course Image  E4-F1-US6-T3:

1. Access and Visibility
   - Only admins should have the ability to modify course images.
   - The option to change the course image should be easily accessible and visible on the course details/edit page.

2. Image Upload Functionality
   - Admins should be able to upload a new image file from their device.
   - The system should accept common image formats (e.g., .jpg, .png, .gif).
   - There should be a clear way to initiate the image upload process, such as an ""Upload"" button or drag-and-drop functionality.

3. User Feedback
   - Upon successfully changing the course image, a confirmation message should be displayed to the admin.
   - If the image change fails, a clear and informative error message should be displayed.",
Task,,,,3.FE-E6-F1-US6-T4,"3.FE-E6-F1-US6-T4

Implement ""Update"" Button

As an admin, I want an ""Update"" button that saves all the edited course details to ensure that all modifications are stored and reflected accurately on the ""Course Info"" page.","Acceptance Criteria for the Product Backlog Item: Implement ""Update"" Button  E4-F1-US6-T4:

1. Visibility and Accessibility
   - The ""Update"" button should be prominently visible and easily accessible on the course editing page.
   - The button should be located in a logical and intuitive place on the page, typically at the bottom or top of the editing form.

2. Save Functionality
   - Upon clicking the ""Update"" button, all edited data in the form should be saved and stored in the database.
   - The system should validate the edited data to ensure it adheres to any defined formats or constraints.
   
3. User Feedback
   - After clicking the ""Update"" button, admins should receive clear feedback indicating whether the save was successful or not.
   - If successful, a confirmation message (e.g., ""Course details updated successfully."") should be displayed.
   - If the save fails, an error message should be displayed, providing guidance on what went wrong and how to resolve it.",
Product Backlog Item,,,3.FE-E6-F1-US7,,"3.FE-E6-F1-US7

Manage Modules

As an admin, I want to click on the ""Modules"" link to navigate to a page where I can add, remove, or modify modules and videos so that the course content is relevant and organized.","Acceptance Criteria for User Story 3.FE-E6-F1-US7: Manage Modules

1. **Navigation to Modules Page**:
   - Upon clicking the ""Modules"" link, the admin should be redirected to the Modules management page promptly and without errors.

2. **Add Modules**:
   - The Modules page must include a clear and visible option to add new modules.
   - When adding a module, fields for entering the module name, description, and associated videos should be present.
   - Upon submission, the system should validate the input and add the module to the course structure if all fields are correctly filled.

3. **Remove Modules**:
   - Each listed module should have an associated ""Remove"" or ""Delete"" option.
   - Clicking ""Remove"" should prompt a confirmation dialog to prevent accidental deletions.
   - Once confirmed, the module should be permanently removed from the course content.

4. **Modify Modules**:
   - Next to each module, an ""Edit"" or ""Modify"" option should be available.
   - Selecting this option should open a form pre-populated with the existing module details, allowing the admin to update the module name, description, or videos.
   - Changes should be saved and reflected immediately upon confirmation.

5. **Manage Videos within Modules**:
   - The admin should have the ability to add, remove, or rearrange videos within each module via a clear and intuitive interface.

6. **Content Relevance and Organization**:
   - The system should support organizing modules and videos in a logical sequence, with drag-and-drop functionality for ease of arrangement.
   - The interface should provide a preview or summary view of the current course structure for the admin to review changes.

7. **Confirmation and Error Handling**:
   - Any changes made (add, remove, modify) should prompt a confirmation message upon successful completion.
   - Error messages should be specific and instructive, guiding the admin to resolve issues like incomplete fields or system errors.

8. **Accessibility and Permissions**:
   - The Modules management functionality should be accessible only to users with admin privileges.
   - Appropriate security measures should be in place to prevent unauthorized access or modifications.",
Task,,,,3.FE-E6-F1-US7-T1,"3.FE-E6-F1-US7-T1

Add New Modules

As an admin, I want to add new modules to the course so that I can expand and update the course content.","Acceptance Criteria for the Product Backlog Item: Add New Modules  E4-F1-US7-T1:

1. Access to Add Modules
   - Only admins should have the ability to add new modules to a course.
   - The option to add new modules should be easily accessible from the course management or editing page.

2. Module Creation Interface
   - Admins should be provided with a user-friendly interface to create new modules, which should include fields for the module title and topic
   - The interface should allow admins to upload or link to resources (videos, documents, etc.) for the module.

3. Validation and Error Handling
   - The system should validate the input data for each module field to ensure it adheres to expected formats and is not left empty.
   - Clear error messages should be displayed for any issues during the module creation process.

4. Save and Update
   - Upon successful creation of a new module, the system should save the module and update the course content.
   - Admins should receive a confirmation message upon successful addition of a new module.

5. Editing and Deletion
   - Admins should have the option to edit or delete modules after they have been created.
   - The system should prompt for confirmation before deleting a module to prevent accidental data loss.",
Task,,,,3.FE-E6-F1-US7-T2,"3.FE-E6-F1-US7-T2

Remove Existing Modules

As an admin, I want to remove existing modules from the course to ensure that all available content is relevant and up-to-date.","Acceptance Criteria for the Product Backlog Item: Remove Existing Modules  1.E4-F1-US7-T2:

1. Access Control
   - Only users with the 'admin' role should have the ability to see and use the delete symbol to remove modules.

2. UI/UX
   - A delete symbol (e.g., a trash can icon) should be visibly placed next to the input box for the module title on the course management or module details page.
   - Hovering over the delete symbol should display a cursor pointer.

3. Delete Functionality
   - Clicking on the delete symbol should trigger a confirmation dialog box or message asking the admin to confirm the deletion (e.g., ""Are you sure you want to delete this module?"").
   - Upon confirmation, the module should be removed from the course and no longer be accessible to admins, instructors, or students.
   - All data related to the deleted module should be removed or archived based on data retention policies.

4. Feedback Mechanism
   - After a module is deleted, a success message should be displayed to the admin (e.g., ""The module has been successfully deleted."").
   - In case of an error during the deletion process, a clear error message should be displayed, explaining the issue and suggesting potential solutions or next steps.

6. Relevance and Consistency
   - Once a module is deleted, it should immediately be removed from all views and lists across the platform.
   - Users (including admins, instructors, and students) should no longer be able to access or view the deleted module.",
Task,,,,3.FE-E6-F1-US7-T3,"3.FE-E6-F1-US7-T3

Add Video Links to Modules

As an admin, I want to add new videos to modules to provide additional learning materials to the learners.","Acceptance Criteria for the Product Backlog Item: Add Videos to Modules  1.E4-F1-US7-T3:

1. UI/UX for Input Fields
   - The interface should provide two input fields side by side: one for the 'Topic Name' and the other for the 'Video Link'.
   - The input fields should be clearly labeled and have placeholder text to guide the admin on the expected input.
   - The input fields should be sufficiently spaced and visually distinct to ensure clarity and ease of use.

2. Add Video Link Functionality
   - Upon entering a topic name and pasting a video link, and clicking ""Save"" button, the video should be associated with the respective module and topic.
   - The system should validate the video link to ensure it is in a correct and usable format.
   - The topic name should be mandatory and the system should validate that it is not left blank.

3. Display of Added Videos
   - Once a video is added, it should be listed under the respective module with the provided topic name.
   - The listed videos under a module should be displayed in an orderly and readable manner, preferably in a list format.

4. Error Handling and Feedback
   - If an invalid video link is entered, the system should display a clear error message and prevent the addition until a valid link is provided.
   - Upon successful addition or deletion of a video, a success message should be displayed to the admin.
   - If a process (addition, deletion, editing) fails, a clear and concise error message should be displayed, explaining the issue and potential solutions or retry options.

5. Data Persistence
   - All added, edited, or deleted videos and their details should be accurately saved and should persist even after the admin logs out or the system is restarted.",
Task,,,,3.FE-E6-F1-US7-T4,"3.FE-E6-F1-US7-T4

Remove Videos from Modules

As an admin, I want to remove videos from modules to ensure that only relevant and accurate content is available.","Acceptance Criteria for the Product Backlog Item: Add Videos to Modules  1.E4-F1-US7-T4:

1. Delete Video Functionality
   - Next to each listed video (topic name and link), a delete symbol or button should be available.
   - Clicking the delete symbol should remove the respective video from the module.
   - A confirmation dialog should appear when the delete symbol is clicked, asking the admin to confirm the deletion to prevent accidental removals.",
Task,,,,3.FE-E6-F1-US7-T5,"3.FE-E6-F1-US7-T5
Edit Video Details

As an admin, I want to edit details of videos within modules (such as title, description, etc.) to maintain the accuracy and relevance of the content.","Acceptance Criteria for the Product Backlog Item: Add Videos to Modules  E4-F1-US7-T5:

1. Edit Video Details
   - Admins should have the ability to edit the topic name and video link of already added videos.
   - Editing can be facilitated through an ""Edit"" button or by clicking on the topic name or video link, depending on the UI design.",
Task,,,,3.FE-E6-F1-US7-T6,"3.FE-E6-F1-US7-T6

Reorder Modules

As an admin, I want to change the order of modules within the course to ensure a logical and pedagogically sound progression of content.","Acceptance Criteria for the Product Backlog Item: Reorder Modules  E4-F1-US7-T6:

1. Access and Visibility
   - Only admins should have the ability to reorder modules.
   - Upward and downward arrows should be visibly placed to the left of the Title input field for each module.

2. Reordering Functionality
   - Clicking the upward arrow beside a module title should order the module topics ascending.
   - Clicking the downward arrow should order the module topics descending.
   - The reordering should be possible for all listed modules.

3. Immediate Reflection
   - Any change in the order of the modules should be immediately reflected in the admin闂傚倷鑳堕崑銊╁磿閺屻儲鍋 view.
   - The new order should be maintained and visible when the admin navigates away and returns to the page.",
Product Backlog Item,,,3.FE-E6-F1-US8,,"3.FE-E6-F1-US8

Manage Projects

As an admin, I want to click on the ""Projects"" link, I should view all the uploaded projects, and have an option to select and upload projects from my local storage.","Acceptance Criteria for User Story FE-E6-F1-US8:

1. **Link Accessibility**: When logged in as an admin, there should be a clearly visible and accessible ""Projects"" link in the main navigation menu or dashboard.

2. **Display of Projects**: Upon clicking the ""Projects"" link, the admin should be directed to a page or section where all previously uploaded projects are displayed in an organized manner.

3. **Project Upload Feature**: The page must include an ""Upload Project"" button or icon that, when clicked, opens a dialog or interface allowing the admin to select and upload project files from local storage.

4. **File Selection and Validation**: The upload interface should enable the admin to browse and select the desired project files, with file type and size validations in place as per the system requirements.

5. **Upload Confirmation**: After a project file is selected and the upload initiated, there should be a visual indication of the upload progress, followed by a confirmation message once the upload is successfully completed.

6. **Error Handling**: If the upload fails or the file does not meet the validation criteria, an appropriate error message should be displayed, informing the admin of the issue and suggesting corrective actions.

7. **Real-time Update**: The list of projects should update in real-time to display the newly uploaded project without needing to refresh the page manually.

8. **Navigation Ease**: After uploading a project, the admin should have the option to return to the list of projects or continue to upload additional projects, facilitating efficient workflow management.

9. **Security**: Ensure that all interactions with the system are secure, and that only admins have the permission to upload and view projects, maintaining the integrity of the data.",
Task,,,,3.FE-E6-F1-US8-T1,"3.FE-E6-F1-US8-T1

View Uploaded Projects

As an admin, I want to view a list of all uploaded projects so that I can manage and review the available projects for the course.","Acceptance Criteria for the Product Backlog Item: View Uploaded Projects  E4-F1-US8-T1:

1. Access Control
   - Only users with the 'admin' role should have the ability to view the list of all uploaded projects.

2. UI/UX
   - The list of uploaded projects should be displayed in a clear, organized, and easily navigable format (e.g., a table or grid).
   - Each project entry should display relevant details such as project name, uploader (student) name, upload date, and status.
   - Admins should have the ability to sort and/or filter the list based on varioUSattributes like project name, uploader name, and upload date.

3. Project Details
   - Clicking on a project name or a dedicated ""View"" button should navigate the admin to a detailed view of the selected project, where they can review all project details and uploaded files.

4. Error Handling
   - If there are no uploaded projects, the system should display a friendly message indicating that there are no projects to display.
   - Any errors (e.g., failed to load projects) should be communicated clearly to the admin through an error message.",
Task,,,,3.FE-E6-F1-US8-T2,"3.FE-E6-F1-US8-T2

Upload New Projects

As an admin, I want to upload new projects from my local storage so that I can provide new materials for learners.","Acceptance Criteria for the Product Backlog Item: Upload New Projects E4-F1-US8-T2:

1. Access Control
   - Only users with admin privileges should have access to the project upload functionality.

2. UI/UX
   - The ""Choose File"" button should be clearly visible and accessible on the project upload page.
   - The ""Upload"" button should be located below the ""Choose File"" button and should be easily identifiable.
   - The UI should provide a clear area or indication (e.g., a box or highlighted section) where files can be dragged and dropped for upload.
   - The UI should display a clear confirmation message upon successful upload and an error message upon failure.

3. File Selection and Preview
   - Clicking the ""Choose File"" button should open the file explorer, allowing the admin to browse and select a file from local storage.
   - Once a file is selected, the file name (and preferably, size and type) should be displayed next to the ""Choose File"" button.
   - Optionally, a preview of the selected file (if applicable, e.g., for image files) should be displayed.

4. File Upload
   - Upon clicking the ""Upload"" button, the selected file should be uploaded to the server.
   - The system should display the upload progress (e.g., a progress bar or percentage).
   - The admin should have the option to cancel the upload while it is in progress.

5. File Validation
   - The system should validate the file type and size against the allowed formats and size limits.
   - If the file does not meet the criteria, a clear error message should be displayed, indicating the issue and any necessary corrective actions.",
Task,,,,3.FE-E6-F1-US8-T3,"3.FE-E6-F1-US8-T3

Open Projects

As an admin, I want to open the projects from the platform so that I can review them.","Acceptance Criteria for the Product Backlog Item: Open Projects E4-F1-US8-T3:

1. Access Control
   - Only users with the 'admin' role should have the ability to open and review projects.

2. Project Visibility
   - All projects that are available for review should be visible and accessible to the admin.
   - Each project should display relevant information (e.g., project name, creator, creation date) in the overview/list view.

3. Open Project Functionality
   - Admins should be able to open any project by clicking on the project name or a designated 闂傚倷鑳堕崑銊╁磿閸欏婂ジ骞佸〒鍞嶉梻 button.
   - The system should load the selected project within a reasonable time frame (e.g., a few seconds).

4. Project Detail View
   - Once a project is opened, all details of the project (e.g., project description, files, images, comments) should be displayed in an organized and readable format.
   - Admins should be able to navigate through different sections or pages of the project easily.

5. File Accessibility
   - Admins should be able to open and view all files associated with a project without errors.
   - Supported file types (e.g., .docx, .pdf, .jpg) should open within the platform or be downloadable for external viewing.",
Task,,,,3.FE-E6-F1-US8-T4,"3.FE-E6-F1-US8-T4

Delete Projects

As an admin, I want to delete projects from the platform to ensure that only relevant and current projects are available to learners.","Acceptance Criteria for the Product Backlog Item: Delete Projects E4-F1-US8-T4:

1. Delete Symbol Visibility
   - The delete symbol should be clearly visible and located adjacent to each project title link on the project management or project details page.
   - Only users with the 'admin' role should be able to see and interact with the delete symbol.

2. Delete Action Accessibility
   - Admins should be able to click on the delete symbol to initiate the deletion of a project.
   - The delete symbol should be accessible and functional across varioUSbrowsers and devices.

3. Confirmation Prompt
   - When the delete symbol is clicked, a confirmation prompt should appear, asking the admin to confirm the deletion action (e.g., ""Are you sure you want to delete this project?"").
   - The confirmation prompt should have options to proceed with the deletion (""Yes, delete"") or cancel the action (""Cancel"").

4. Successful Deletion
   - Upon confirming the deletion, the project should be removed from the platform and no longer be accessible to admins, instructors, or learners.
   - A success message should be displayed to the admin, confirming that the project has been deleted (e.g., ""Project successfully deleted."").

5. Error Handling
   - If the project cannot be deleted due to system issues or dependencies, an error message should be displayed to the admin, explaining the issue and suggesting potential next steps or alternatives.",
Product Backlog Item,,,3.FE-E6-F1-US9,,"
3.FE-E6-F1-US9

Manage Enrolled Users

As an admin, I want to click on the ""Enrolled"" link, I should view all the learners names and emails enrolled in that course.  I want an option to unenroll the learners and a text area to enter learner details and enroll them in that course. ","Acceptance Criteria for User Story 3.FE-E6-F1-US9: Manage Enrolled Users

1. **Link Accessibility**: As an admin, when I click on the ""Enrolled"" link, the system should display a list of all learners currently enrolled in the course.

2. **Display of Information**: The list should include both the names and email addresses of the enrolled learners, presented in a clear and readable format.

3. **Unenrollment Option**: Next to each learner's details, there should be an option (such as a button or link) to unenroll that particular learner from the course.

4. **Confirmation of Unenrollment**: Upon selecting the unenrollment option, the system should prompt for confirmation to prevent accidental unenrollments.

5. **Enrollment Text Area**: There must be a text area where the admin can enter the details (name and email) of a new learner to enroll them in the course.

6. **Validation of Enrollment Details**: The system should validate the input details for the correct format and completeness before enrolling a new learner.

7. **Enrollment and Unenrollment Feedback**: After enrolling a new learner or unenrolling an existing one, the system should provide immediate visual feedback (such as a success message or updated list) to confirm the action has been taken.

8. **Functionality across Devices**: The manage enrollment page should function correctly and display properly across different devices and browsers.

9. **Performance**: The actions of enrolling and unenrolling a learner should be completed within a reasonable time frame to ensure a smooth administrative experience.

10. **Error Handling**: In case of an error during enrollment or unenrollment (such as network issues), the system should display an informative error message and allow the admin to retry the action.",
Task,,,,3.FE-E6-F1-US9-T1,"3.FE-E6-F1-US9-T1

View Enrolled Learners

As an admin, I want to click on the ""Enrolled"" link and view a list of all learners (names and emails) enrolled in a course,
So that I can manage and review the users participating in the course.","Acceptance Criteria for ""View Enrolled Learners"" F E4-F1-US9-T1:

1. Access to Enrolled Link
   - Given I am an admin,
   - When I log into the admin dashboard,
   - Then I should see an ""Enrolled"" link.

2. View Enrolled Learners
   - Given I am an admin and on the admin dashboard,
   - When I click on the ""Enrolled"" link,
   - Then I should be navigated to a page displaying a list of all enrolled learners.

3. Display Learner Details
   - Given I am on the page displaying enrolled learners,
   - Then I should see the following details for each learner:
     - Name
     - Email
     - Button to Unenroll the user

4. Empty State
   - Given I am an admin and no learners are enrolled in a course,
   - When I view the enrolled learners page,
   - Then I should see a message indicating that there are no learners enrolled.",
Task,,,,3.FE-E6-F1-US9-T2,"3.FE-E6-F1-US9-T2

Unenroll Learners

As an admin, I want the ability to unenroll learners from a course,
So that I can manage course participation and ensure only relevant users are enrolled.","Acceptance Criteria for ""Unenroll Learners"" F E4-F1-US9-T2:

1. Access to Unenroll Button
   - Given I am an admin,
   - When I view the list of enrolled learners in a course,
   - Then I should see an ""Unenroll"" button next to each learner闂傚倷鑳堕崑銊╁磿閺屻儲鍋 name.

2. Visibility of Unenroll Button
   - Given I am a user with a role other than admin,
   - When I view the list of enrolled learners,
   - Then I should not see the ""Unenroll"" button.

3. Unenroll Confirmation
   - Given I am an admin and I click the ""Unenroll"" button,
   - When the action is initiated,
   - Then I should see a confirmation popup asking if I am sure I want to unenroll the learner.

4. Unenroll Action
   - Given I am an admin and I confirm the unenrollment,
   - When the unenroll action is processed,
   - Then the learner should be removed from the course enrollment list,
   - And the learner should no longer have access to the course.

5. Unenroll Notification
   - Given a learner is unenrolled from a course,
   - When the action is completed,
   - Then the learner should receive a notification informing them of the unenrollment.",
Task,,,,3.FE-E6-F1-US9-T3,"3.FE-E6-F1-US9-T3

Enroll New Learners via Text Area

As an admin, I want a text area to manually enter learner details (like name and email) and enroll them in a course,
So that I can manage and facilitate the enrollment of new users.","Acceptance Criteria: Enroll New Learners via Text Area E4-F1-US9-T3:

1. Text Area Visibility
   - Given I am an admin,
   - When I access the ""Enroll New Learners"" section,
   - Then a text area for entering learner details should be visible.

2. Input Format Instructions
   - Given I am in the ""Enroll New Learners"" section,
   - When I focUSon the text area,
   - Then I should see instructions or a placeholder indicating the input format for learner details.

3. Multiple Learner Entry
   - Given I am entering learner details,
   - When I input details for multiple learners,
   - Then each learner's details should be entered using a comma.

4. Learner Details Validation
   - Given I have input learner details,
   - When I submit the details,
   - Then the system should validate the format and provide feedback if entries are invalid.

5. Successful Enrollment and Notification
   - Given I have entered valid learner details,
   - When I submit the details,
   - Then learners should be enrolled in the course and receive a notification email.

6. Enrollment Feedback
   - Given I have submitted learner details,
   - When the enrollment process concludes,
   - Then I should receive a message indicating success or failure.

7. Handling Duplicate Entries
   - Given I have input learner details,
   - When I submit details with existing learners,
   - Then the system should highlight duplicates and proceed with enrolling new learners.",
Product Backlog Item,,,3.FE-E6-F1-US10,,"3.FE-E6-F1-US10

Manage Resumes

As an admin, I want to click on the ""Resumes"" link, I should view all the uploaded Resumes, and have an option to select and upload Resume from my local storage.","Acceptance Criteria for User Story FE-E6-F1-US10: Manage Resumes

1. **Resumes Link Accessibility**:
   - Ensure that the ""Resumes"" link is easily accessible and visible on the admin panel/dashboard.

2. **Display of Uploaded Resumes**:
   - Upon clicking the ""Resumes"" link, the system should display a list/grid of all previously uploaded resumes.
   - Each resume entry must show relevant details such as the candidate's name, upload date, and file type.

3. **Resume Selection and Viewing**:
   - Admins should have the ability to select and view a full version of any resume from the uploaded list.
   - The viewing option should support common file formats like .pdf, .doc, and .docx.

4. **Upload Functionality**:
   - The interface should include a clear and responsive ""Upload Resume"" button or icon.
   - Clicking the upload option should open the admin's local storage directories to select a resume file.

5. **File Type and Size Validation**:
   - The system should only accept resume files in specified formats (e.g., .pdf, .docx) and within a certain size limit.
   - If an admin selects a file outside of these parameters, a descriptive error message should be displayed.

6. **Successful Upload Confirmation**:
   - Once a resume is selected and the upload is initiated, there should be a progress indicator.
   - Upon successful upload, the system should confirm with a message and the new resume should appear in the list of uploaded resumes.

7. **Error Handling for Upload Failures**:
   - In the event of an upload failure, the system should provide a clear error message detailing the reason (e.g., network error, file corruption).

8. **Consistency Across Platforms**:
   - The ""Manage Resumes"" feature should function consistently across different web browsers and devices.

9. **Security and Privacy**:
   - Ensure that all resume data is handled securely and in compliance with data privacy regulations.

10. **Performance**:
    - The resume management page should load efficiently, even with a large number of resume files.",
Task,,,,3.FE-E6-F1-US10-T1,"3.FE-E6-F1-US10-T1

Upload New Resumes

As an admin, I want to upload new projects from my local storage so that I can provide new materials for learners.","Acceptance Criteria for the Product Backlog Item: Upload New Resumes E4-F1-US10-T1:

1. Access Control
   - Only users with admin privileges should have access to the Resume upload functionality.

2. UI/UX
   - The ""Choose File"" button should be clearly visible and accessible on the Resume upload page.
   - The ""Upload"" button should be located below the ""Choose File"" button and should be easily identifiable.
   - The UI should provide a clear area or indication (e.g., a box or highlighted section) where files can be dragged and dropped for upload.
   - The UI should display a clear confirmation message upon successful upload and an error message upon failure.

3. File Selection and Preview
   - Clicking the ""Choose File"" button should open the file explorer, allowing the admin to browse and select a file from local storage.
   - Once a file is selected, the file name (and preferably, size and type) should be displayed next to the ""Choose File"" button.
   - Optionally, a preview of the selected file (if applicable, e.g., for image files) should be displayed.

4. File Upload
   - Upon clicking the ""Upload"" button, the selected file should be uploaded to the server.
   - The system should display the upload progress (e.g., a progress bar or percentage).
   - The admin should have the option to cancel the upload while it is in progress.

5. File Validation
   - The system should validate the file type and size against the allowed formats and size limits.
   - If the file does not meet the criteria, a clear error message should be displayed, indicating the issue and any necessary corrective actions.",
Task,,,,3.FE-E6-F1-US10-T2,"3.FE-E6-F1-US10-T2

Open Resume

As an admin, I want to open the Resumes from the platform so that I can review them.","Acceptance Criteria for the Product Backlog Item: Open Resumes E4-F1-US10-T2:

1. Access Control
   - Only users with the 'admin' role should have the ability to open and review Resumes.
   
2. Project Visibility
   - All Resumes that are available for review should be visible and accessible to the admin.
   - Each Resume should display relevant information (e.g., project name, creator, creation date) in the overview/list view.

3. Open Resume Functionality
   - Admins should be able to open any Resume by clicking on the project name or a designated 闂傚倷鑳堕崑銊╁磿閸欏婂ジ骞佸〒鍞嶉梻 button.
   - The system should load the selected Resume within a reasonable time frame (e.g., a few seconds).

4. Resume Detail View
   - Once a Resume is opened, all details of the Resume (e.g., Resume description, files, images, comments) should be displayed in an organized and readable format.
   - Admins should be able to navigate through different sections or pages of the Resume easily.

5. File Accessibility
   - Admins should be able to open and view all files associated with a Resume without errors.
   - Supported file types (e.g., .docx, .pdf, .jpg) should open within the platform or be downloadable for external viewing.",
Task,,,,3.FE-E6-F1-US10-T3,"3.FE-E6-F1-US10-T3

Delete Resumes

As an admin, I want to delete Resumes from the platform.","Acceptance Criteria for the Product Backlog Item: Delete Projects E4-F1-US10-T3:

1. Delete Symbol Visibility
   - The delete symbol should be clearly visible and located adjacent to each Resume title link.
   - Only users with the 'admin' role should be able to see and interact with the delete symbol.

2. Delete Action Accessibility
   - Admins should be able to click on the delete symbol to initiate the deletion of a Resume.
   - The delete symbol should be accessible and functional across varioUSbrowsers and devices.

3. Confirmation Prompt
   - When the delete symbol is clicked, a confirmation prompt should appear, asking the admin to confirm the deletion action (e.g., ""Are you sure you want to delete this Resume?"").
   - The confirmation prompt should have options to proceed with the deletion (""Yes, delete"") or cancel the action (""Cancel"").

4. Successful Deletion
   - Upon confirming the deletion, the Resume should be removed from the platform and no longer be accessible to admins, instructors, or learners.
   - A success message should be displayed to the admin, confirming that the Resume has been deleted (e.g., ""Resume successfully deleted."").

5. Error Handling
   - If the Resume cannot be deleted due to system issues or dependencies, an error message should be displayed to the admin, explaining the issue and suggesting potential next steps or alternatives.",
Epic,3.FE-E7,,,,"3.FE-E7
Learner Dashboard
",,
